Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,116689242,16,14,463,415,379,0,28.9375,93.36199709,409,0,29.64285714,109.1982017,7.52425832,0.257093109,4023766.966,4862529.303,10000000,21,117000000,7779282.8,4057046.009,10100000,31112,110000000,8490158.846,3710419.013,10100000,101955,0,0,0,0,332,424,0.137116325,0.119976784,0,409,28.32258065,97.74026366,9553.15914,0,0,0,1,0,0,0,0,0,29.26666667,28.9375,29.64285714,332,0,0,0,0,0,0,16,463,14,415,8192,119,15,20,70477.81818,131030.3389,465549,30823,9963342.818,57574.95954,10000000,9800537,0
256,73,2,2,4,12,2,2,2.0,0.0,6,6,6.0,0.0,219178.0822,54794.52055,24.33333333,1.154700538,25,23,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,48,40,27397.26027,27397.26027,2,6,3.6,2.19089023,4.8,0,0,0,1,0,0,0,0,1,4.5,2.0,6.0,48,0,0,0,0,0,0,2,4,2,12,1024,0,1,24,0.0,0.0,0,0,0.0,0.0,0,0,0
443,5871862,9,6,384,4080,191,0,42.66666667,76.89440812,1418,0,680.0,666.0342334,760.2358502,2.554555948,419418.7143,1507297.211,5655979,7,5871862,733982.75,1988977.934,5655979,18,140416,28083.2,35013.67218,82784,48,0,0,0,0,296,200,1.532733569,1.021822379,0,1418,279.0,504.0263221,254042.5333,0,0,0,1,0,0,0,0,0,297.6,42.66666667,680.0,296,0,0,0,0,0,0,9,384,6,4080,29200,349,3,32,215865.0,0.0,215865,215865,5655979.0,0.0,5655979,5655979,0
1287,102,2,2,4,12,2,2,2.0,0.0,6,6,6.0,0.0,156862.7451,39215.68627,34.0,24.24871131,48,6,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,48,40,19607.84314,19607.84314,2,6,3.6,2.19089023,4.8,0,0,0,1,0,0,0,0,1,4.5,2.0,6.0,48,0,0,0,0,0,0,2,4,2,12,1024,0,1,24,0.0,0.0,0,0,0.0,0.0,0,0,0
53,47945,2,2,72,100,36,36,36.0,0.0,50,50,50.0,0.0,3587.443946,83.42892898,15981.66667,27677.59457,47941,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,64,64,41.71446449,41.71446449,36,50,41.6,7.668115805,58.8,0,0,0,0,0,0,0,0,1,52.0,36.0,50.0,64,0,0,0,0,0,0,2,72,2,100,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
53,30952,2,2,70,232,35,35,35.0,0.0,116,116,116.0,0.0,9757.0431636082,129.2323597829,10317.3333333333,17864.0833611281,30945,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,40,64.6161798914,64.6161798914,35,116,67.4,44.3655271579,1968.3,0,0,0,0,0,0,0,0,1,84.25,35.0,116.0,64,0,0,0,0,0,0,2,70,2,232,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
443,238180,14,11,1466,7029,832,0,104.7142857,219.0066485,1625,2,639.0,726.0096418,35666.3028,104.9626333,9924.166667,14758.49552,40113,24,238180,18321.53846,27860.46616,93130,48,202728,20272.8,21078.15362,51546,49,0,0,0,0,292,224,58.77907465,46.18355865,0,1625,326.7307692,557.27534,310555.8046,0,0,0,1,0,0,0,0,0,339.8,104.7142857,639.0,292,0,0,0,0,0,0,14,1466,11,7029,8192,18304,13,20,0.0,0.0,0,0,0.0,0.0,0,0,0
443,8490426,12,10,3125,7849,1413,0,260.4166667,531.4902647,2896,0,784.9,1017.905851,1292.514651,2.591153848,404306.0,958674.9092,3993149,4,4497273,408843.0,634904.6797,2062339,896,8338080,926453.3333,1383593.966,3993203,4,0,0,0,0,392,328,1.413356644,1.177797204,0,2896,477.1304348,802.579495,644133.8458,0,0,0,1,0,0,0,0,0,498.8181818,260.4166667,784.9,392,0,0,0,0,0,0,12,3125,10,7849,29200,72,4,32,0.0,0.0,0,0,0.0,0.0,0,0,0
54160,181,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,11049.72376,181.0,0.0,181,181,181,181.0,0.0,181,181,0,0.0,0.0,0,0,0,0,0,0,64,0,11049.72376,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,243,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
53,180,2,2,88,120,44,44,44.0,0.0,60,60,60.0,0.0,1155555.556,22222.22222,60.0,63.85138996,129,3,48,48.0,0.0,48,48,3,3.0,0.0,3,3,0,0,0,0,40,40,11111.11111,11111.11111,44,60,50.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,63.0,44.0,60.0,40,0,0,0,0,0,0,2,88,2,120,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
443,2079281,73,116,2593,213438,517,0,35.52054795,114.9833454,4344,0,1839.982759,825.1602846,103896.9721,90.89680519,11060.00532,109997.9944,1462128,1,2079281,28878.90278,177766.1694,1462173,3,2030529,17656.77391,142857.657,1488709,1,0,0,0,0,2344,3720,35.10828984,55.78851536,0,4344,1137.005263,1094.575797,1198096.175,0,0,0,1,0,0,0,0,1,1143.021164,35.52054795,1839.982759,2344,0,0,0,0,0,0,73,2593,116,213438,29200,1073,8,32,0.0,0.0,0,0,0.0,0.0,0,0,0
49422,1842057,5,2,11607,26,11595,0,2321.4,5184.100867,20,6,13.0,9.899494937,6315.222602,3.800099563,307009.5,751664.4108,1841338,6,1842057,460514.25,920549.2169,1841338,6,65,65.0,0.0,65,65,0,0,0,0,124,40,2.71435683,1.085742732,0,11595,1454.125,4097.537534,16800000.0,0,0,0,1,0,0,0,0,0,1661.857143,2321.4,13.0,124,0,0,0,0,0,0,5,11607,2,26,8192,256,3,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,23410,1,1,47,63,47,47,47.0,0.0,63,63,63.0,0.0,4698.8466467322,85.4335753951,23410.0,0.0,23410,23410,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,42.7167876976,42.7167876976,47,63,52.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,78.5,47.0,63.0,20,0,0,0,0,0,0,1,47,1,63,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
80,115253194,17,15,416,668,405,0,24.47058824,98.06128036,334,0,44.53333333,117.5231689,9.405379256,0.277649572,3717844.968,4804940.924,10000000,22,115000000,7203324.625,4439424.614,10000000,184,110000000,7883368.714,4227402.171,10000000,1359,0,0,0,0,364,444,0.147501335,0.130148237,0,405,32.84848485,104.8123684,10985.63258,0,0,0,1,0,0,0,0,0,33.875,24.47058824,44.53333333,364,0,0,0,0,0,0,17,416,15,668,8192,119,12,20,45394.0,76128.61954,274920,21980,9987994.364,67353.39366,10000000,9784928,0
443,148323,10,9,492,4561,188,0,49.2,76.8458775009,1418,0,506.7777777778,658.5855634953,34067.5417838097,128.0988113779,8240.1666666667,12869.8326569403,36479,1,148323,16480.3333333333,18140.5618366687,42687,17,105817,13227.125,22062.7064097993,57898,1,0,0,0,0,328,296,67.420427041,60.6783843369,0,1418,252.65,491.0786489695,241158.239473684,0,0,0,1,0,0,0,0,0,265.9473684211,49.2,506.7777777778,328,0,0,0,0,0,0,10,492,9,4561,29200,349,4,32,0.0,0.0,0,0,0.0,0.0,0,0,0
54892,13,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,153846.1538,13.0,0.0,13,13,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,76923.07692,76923.07692,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,123,531,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
51232,4045619,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,8.898514665,1.483085777,809123.8,1794716.637,4019589,3,0,0.0,0.0,0,0,4033956,1008489.0,2007411.399,4019589,3,0,0,0,0,20,100,0.247180963,1.235904815,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,30659,1,1,78,160,78,78,78.0,0.0,160,160,160.0,0.0,7762.810268,65.23369973,30659.0,0.0,30659,30659,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,32.61684986,32.61684986,78,160,105.3333333,47.34272207,2241.333333,0,0,0,0,0,0,0,0,1,158.0,78.0,160.0,20,0,0,0,0,0,0,1,78,1,160,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,158,2,2,82,114,41,41,41.0,0.0,57,57,57.0,0.0,1240506.329,25316.4557,52.66666667,86.02519011,152,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,12658.22785,12658.22785,41,57,47.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,59.25,41.0,57.0,64,0,0,0,0,0,0,2,82,2,114,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
80,114,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,105263.157894737,17543.8596491228,114.0,0.0,114,114,114,114.0,0.0,114,114,0,0.0,0.0,0,0,0,0,0,0,40,0,17543.8596491228,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
36873,1,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,64,0,2000000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,340,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
16721,3,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.6667,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,360,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,264,2,2,84,366,42,42,42.0,0.0,183,183,183.0,0.0,1704545.455,15151.51515,88.0,149.8232292,261,1,1,1.0,0.0,1,1,2,2.0,0.0,2,2,0,0,0,0,64,64,7575.757576,7575.757576,42,183,98.4,77.22888061,5964.3,0,0,0,0,0,0,0,0,1,123.0,42.0,183.0,64,0,0,0,0,0,0,2,84,2,366,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
46440,15058,2,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,398.4592907,199.2296454,7529.0,10395.8839,14880,178,15058,15058.0,0.0,15058,15058,0,0.0,0.0,0,0,0,0,0,0,64,20,132.8197636,66.40988179,0,6,1.5,3.0,9.0,0,0,0,0,1,0,0,0,0,2.0,0.0,6.0,64,0,0,0,0,0,0,2,0,1,6,235,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
53,67825,2,2,80,144,40,40,40.0,0.0,72,72,72.0,0.0,3302.617029,58.97530409,22608.33333,39153.58586,67819,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,29.48765205,29.48765205,40,72,52.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,66.0,40.0,72.0,64,0,0,0,0,0,0,2,80,2,144,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
52067,4,3,0,43,0,31,6,14.3333333333,14.4337567297,0,0,0.0,0.0,10750000.0,750000.0,2.0,1.4142135624,3,1,4,2.0,1.4142135624,3,1,0,0.0,0.0,0,0,0,0,0,0,60,0,750000.0,0.0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.3333333333,14.3333333333,0.0,60,0,0,0,0,0,0,3,43,0,0,946,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,0
443,66848,11,6,1174,2336,901,0,106.7272727273,266.9281142589,1397,0,389.3333333333,580.3039433492,52507.180469124,254.3082814744,4178.0,5946.8902910121,15050,47,66848,6684.8,8427.6809094265,20833,78,40948,8189.6,7311.603777558,15772,209,0,0,0,0,244,132,164.5524174246,89.7558640498,0,1397,195.0,401.9511237481,161564.705882353,0,0,0,1,0,0,0,0,0,206.4705882353,106.7272727273,389.3333333333,244,0,0,0,0,0,0,11,1174,6,2336,65535,32,10,20,0.0,0.0,0,0,0.0,0.0,0,0,0
22,110,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,18181.81818,110.0,0.0,110,110,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,9090.909091,9090.909091,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,11
53,96113,1,1,40,266,40,40,40.0,0.0,266,266,266.0,0.0,3183.752458,20.8088396,96113.0,0.0,96113,96113,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,10.4044198,10.4044198,40,266,115.3333333,130.4811608,17025.33333,0,0,0,0,0,0,0,0,1,173.0,40.0,266.0,32,0,0,0,0,0,0,1,40,1,266,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
55004,3,2,0,31,0,31,0,15.5,21.92031022,0,0,0.0,0.0,10300000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,64,0,666666.6667,0.0,0,31,20.66666667,17.89785834,320.3333333,0,1,0,0,1,0,0,0,0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,84,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
7289,1,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,12000000.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,40,0,2000000.0,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,4380,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
80,4588876,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,6.537548628,1.089591438,1147219.0,2293130.046,4586914,4,4588876,1147219.0,2293130.046,4586914,4,0,0.0,0.0,0,0,0,0,0,0,100,0,1.089591438,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,2
53,209,2,2,62,126,31,31,31.0,0.0,63,63,63.0,0.0,899521.531100478,19138.7559808612,69.6666666667,36.6651514838,112,48,49,49.0,0.0,49,49,48,48.0,0.0,48,48,0,0,0,0,40,60,9569.3779904306,9569.3779904306,31,63,43.8,17.5271218402,307.2,0,0,0,0,0,0,0,0,1,54.75,31.0,63.0,40,0,0,0,0,0,0,2,62,2,126,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
407,48,2,0,4,0,2,2,2.0,0.0,0,0,0.0,0.0,83333.33333,41666.66667,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0.0,0.0,0,0,0,0,0,0,48,0,41666.66667,0.0,2,2,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,3.0,2.0,0.0,48,0,0,0,0,0,0,2,4,0,0,1024,-1,1,24,0.0,0.0,0,0,0.0,0.0,0,0,0
53,101262,2,2,58,190,29,29,29.0,0.0,95,95,95.0,0.0,2449.092453,39.50149118,33754.0,58380.50452,101166,48,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,40,80,19.75074559,19.75074559,29,95,55.4,36.1496888,1306.8,0,0,0,0,0,0,0,0,1,69.25,29.0,95.0,40,0,0,0,0,0,0,2,58,2,190,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
80,6130840,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,4.893293578,0.81554893,1532710.0,3063067.509,6127311,0,6130840,1532710.0,3063067.509,6127311,0,0,0.0,0.0,0,0,0,0,0,0,100,0,0.81554893,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,3529.0,0.0,3529,3529,6127311.0,0.0,6127311,6127311,2
53,186,2,2,70,324,35,35,35.0,0.0,162,162,162.0,0.0,2118279.57,21505.37634,62.0,101.3262059,179,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,64,10752.68817,10752.68817,35,162,85.8,69.5607648,4838.7,0,0,0,0,0,0,0,0,1,107.25,35.0,162.0,64,0,0,0,0,0,0,2,70,2,324,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
53,31058,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,5151.6517483418,128.7912937085,10352.6666666667,17926.1485080687,31052,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,64.3956468543,64.3956468543,32,48,38.4,8.7635609201,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,40,0,0,0,0,0,0,2,64,2,96,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
80,5705886,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.70103048,1901962.0,3269871.687,5677650,120,5705886,2852943.0,3994738.949,5677650,28236,0,0.0,0.0,0,0,0,0,0,0,72,32,0.52577286,0.17525762,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,72,0,0,0,0,0,0,3,0,1,0,8192,29200,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,145,2,2,88,120,44,44,44.0,0.0,60,60,60.0,0.0,1434482.759,27586.2069,48.33333333,76.7875858,137,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,64,64,13793.10345,13793.10345,44,60,50.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,63.0,44.0,60.0,64,0,0,0,0,0,0,2,88,2,120,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
45687,37,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,54054.05405,37.0,0.0,37,37,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,27027.02703,27027.02703,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,3,229,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
53,64975,2,2,70,116,35,35,35.0,0.0,58,58,58.0,0.0,2862.639477,61.56213928,21658.33333,37470.90586,64926,1,1,1.0,0.0,1,1,48,48.0,0.0,48,48,0,0,0,0,64,64,30.78106964,30.78106964,35,58,44.2,12.59761882,158.7,0,0,0,0,0,0,0,0,1,55.25,35.0,58.0,64,0,0,0,0,0,0,2,70,2,116,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
53145,33,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,363636.363636364,60606.0606060606,33.0,0.0,33,33,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,30303.0303030303,30303.0303030303,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,360,255,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
